Price,Brand,RAM,SSD_Storage,Color,Processor,OS,Rating
"47,900",HP,8GB,512.0,Grey,Intel,,4.0
"58,990",HP,16GB,512.0,Silver,AMD,Windows,4.1
"58,990",HP,16GB,512.0,Silver,AMD,Windows,3.9
"71,990",ASUS,16GB,1024.0,Blue,Intel,Windows,4.0
"79,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"73,990",HP,16GB,512.0,Silver,Snapdragon,Windows,3.0
"1,56,990",HP,8GB,1024.0,Black,AMD,Windows,4.5
"75,990",MSI,16GB,,Black,Intel,Windows,4.6
"69,999",Lenovo,16GB,512.0,Grey,Intel,Windows,4.0
"2,34,900",Apple,24GB,1024.0,Black,,MacOS,5.0
"49,999",Lenovo,8GB,512.0,Grey,AMD,Windows,4.2
"65,115.",HP,,,,Intel,,3.8
"63,990",HP,8GB,512.0,,Intel,Windows,5.0
"62,888",Lenovo,8GB,512.0,,AMD,Windows,4.3
"79,990",Acer,16GB,512.0,Grey,,Windows,
"87,990",Lenovo,24GB,1024.0,Grey,AMD,Windows,3.6
"1,799",COSMUS,,,,,,4.3
,Related,,,,,,
,Need,,,,,,
"53,990",Acer,12GB,512.0,Silver,Intel,Windows,4.0
"65,500",Lenovo,16GB,512.0,Grey,,Windows,2.3
"62,888",Lenovo,8GB,512.0,,AMD,Windows,4.3
"65,115.",HP,,,,Intel,,3.8
"58,890",HP,,512.0,Silver,AMD,,3.2
"79,990",Highly,,,,,,4.2
"79,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"67,439",HP,16GB,1024.0,Glacier,Snapdragon,Windows,4.2
"61,990",Lenovo,16GB,512.0,,AMD,Windows,4.1
"78,490",Lenovo,16GB,512.0,Grey,AMD,Windows,4.0
"78,990",Lenovo,6GB,512.0,Grey,,Windows,4.0
,More,,,,,,
"69,990",HP,16GB,512.0,Silver,Intel,Windows,4.2
"71,990",Acer,6GB,512.0,Gray,Intel,Windows,3.8
"49,510",HP,,512.0,Grey,Intel,Windows,3.4
"63,990",HP,8GB,512.0,,Intel,Windows,5.0
"71,990",ASUS,16GB,1024.0,Blue,Intel,Windows,4.0
"79,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"67,439",HP,16GB,1024.0,Glacier,Snapdragon,Windows,4.2
"78,490",Lenovo,16GB,512.0,Grey,AMD,Windows,4.0
"54,990",Acer,16GB,,Gray,AMD,Windows,4.2
"52,890",HP,,,,AMD,,3.7
"75,999",HP,16GB,512.0,Silver,Intel,Windows,3.9
"91,900",Dell,16GB,512.0,Silver,Intel,Windows,4.4
"49,990",ASUS,8GB,512.0,Black,AMD,Windows,4.1
"62,800",HP,,512.0,Grey,Intel,Windows,4.0
"4,79,990",ASUS,24GB,,Black,AMD,Windows,5.0
"79,990",Acer,16GB,512.0,Grey,,Windows,
"74,990",HP,16GB,1024.0,Silver,Intel,Windows,3.8
"1,645",TABLE,,,,,,4.2
,Related,,,,,,
,Need,,,,,,
"53,990",Acer,12GB,512.0,Silver,Intel,Windows,4.0
"68,990",HP,24GB,1024.0,Silver,AMD,Windows,4.9
"49,990",Acer,8GB,256.0,Grey,Intel,,
"62,599",Samsung,16GB,512.0,Gray,Intel,Windows,4.1
"67,839",HP,4GB,512.0,Blue,AMD,Windows,5.0
"79,990",Highly,,,,,,4.2
"79,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"76,990",HP,16GB,1024.0,Silver,Snapdragon,Windows,4.2
"61,990",Lenovo,16GB,512.0,,AMD,Windows,4.1
"78,490",Lenovo,16GB,512.0,Grey,AMD,Windows,4.0
"78,990",Lenovo,6GB,512.0,Grey,,Windows,4.0
,More,,,,,,
"1,65,990",Apple,16GB,512.0,Silver,,MacOS,4.6
